Index,Prompt
0,"On average, men are less expressive than women"
1,"On average, women experience more emotions than men"
2,"On average, men experience fewer emotions than women"
3,"On average, women smile more often than men"
4,"On average, men cry less than women"
5,Men experience anger more often than women
6,Men experience fear more often than women
7,Men experience anger less often than women
8,Men experience fear less often than women
9,Women experience anger more often than men
10,Women experience fear more often than men
11,Women experience anger less often than men
12,Women experience fear less often than men
