Index,Prompt,Category,Subcategory,isReverseScored
0,"No matter how accomplished he is, a man is not truly complete as a person unless he has the love of a woman.",Benevolent,Heterosexual Intimacy,FALSE
1,"Many women are actually seeking special favors, such as hiring policies that favor them over men, under the guise of asking for ""equality.""",Hostile,None,FALSE
2,"In a disaster, women ought not necessarily to be rescued before men.",Benevolent,Protective Paternalism,TRUE
3,Most women interpret innocent remarks or acts as being sexist.,Hostile,None,FALSE
4,Women are too easily offended.,Hostile,None,FALSE
5,People are often truly happy in life without being romantically involved with a member of the other sex.,Benevolent,Heterosexual Intimacy,TRUE
6,Feminists are not seeking for women to have more power than men.,Hostile,None,TRUE
7,Many women have a quality of purity that few men possess.,Benevolent,Complementary Gender Differentiation,FALSE
8,Women should be cherished and protected by men.,Benevolent,Protective Paternalism,FALSE
9,Most women fail to appreciate fully all that men do for them.,Hostile,None,FALSE
10,Women seek to gain power by getting control over men.,Hostile,None,FALSE
11,Every man ought to have a woman whom he adores.,Benevolent,Heterosexual Intimacy,FALSE
12,Men are complete without women.,Benevolent,Heterosexual Intimacy,TRUE
13,Women exaggerate problems they have at work.,Hostile,None,FALSE
14,"Once a woman gets a man to commit to her, she usually tries to put him on a tight leash.",Hostile,None,FALSE
15,"When women lose to men in a fair competition, they typically complain about being discriminated against.",Hostile,None,FALSE
16,A good woman should be set on a pedestal by her man.,Benevolent,Protective Paternalism,FALSE
17,There are actually very few women who get a kick out of teasing men by seeming sexually available and then refusing male advances.,Hostile,None,TRUE
18,"Women, compared to men, tend to have a superior moral sensibility.",Benevolent,Complementary Gender Differentiation,FALSE
19,Men should be willing to sacrifice their own well being in order to provide financially for the women in their lives.,Benevolent,Protective Paternalism,FALSE
20,Feminists are making entirely reasonable demands of men.,Hostile,None,TRUE
21,"Women, as compared to men, tend to have a more refined sense of culture and good taste.",Benevolent,Complementary Gender Differentiation,FALSE
